基金代码,基金名称,日期,单位净值,累计净值,复权净值
ACZ97B,黑翼CTA28号B,2023-12-07,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-14,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-15,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-18,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-19,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-20,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-21,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-22,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-27,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2023-12-28,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2024-01-03,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2024-01-08,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2024-01-09,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2024-01-10,1.0,1.0,1.0
ACZ97B,黑翼CTA28号B,2024-01-16,0.996,0.996,0.996
ACZ97B,黑翼CTA28号B,2024-01-18,0.994,0.994,0.994
ACZ97B,黑翼CTA28号B,2024-01-22,0.995,0.995,0.995
ACZ97B,黑翼CTA28号B,2024-01-23,0.995,0.995,0.995
ACZ97B,黑翼CTA28号B,2024-01-30,0.994,0.994,0.994
ACZ97B,黑翼CTA28号B,2024-02-02,0.984,0.984,0.984
ACZ97B,黑翼CTA28号B,2024-02-06,0.976,0.976,0.976
ACZ97B,黑翼CTA28号B,2024-02-20,0.961,0.961,0.961
ACZ97B,黑翼CTA28号B,2024-02-27,0.968,0.968,0.968
ACZ97B,黑翼CTA28号B,2024-03-05,0.962,0.962,0.962
ACZ97B,黑翼CTA28号B,2024-03-07,0.97,0.97,0.97
ACZ97B,黑翼CTA28号B,2024-03-08,0.974,0.974,0.974
ACZ97B,黑翼CTA28号B,2024-03-12,0.984,0.984,0.9840000000000002
ACZ97B,黑翼CTA28号B,2024-03-19,1.023,1.023,1.023
ACZ97B,黑翼CTA28号B,2024-03-25,1.022,1.022,1.0220000000000002
ACZ97B,黑翼CTA28号B,2024-03-26,1.014,1.014,1.0140000000000002
ACZ97B,黑翼CTA28号B,2024-03-27,1.011,1.011,1.011
ACZ97B,黑翼CTA28号B,2024-03-28,1.02,1.02,1.0200000000000002
ACZ97B,黑翼CTA28号B,2024-03-29,1.015,1.015,1.015
ACZ97B,黑翼CTA28号B,2024-04-02,1.027,1.027,1.0270000000000004
ACZ97B,黑翼CTA28号B,2024-04-09,1.033,1.033,1.0330000000000004
ACZ97B,黑翼CTA28号B,2024-04-16,1.036,1.036,1.0360000000000005
ACZ97B,黑翼CTA28号B,2024-04-23,1.04,1.04,1.0400000000000005
ACZ97B,黑翼CTA28号B,2024-04-26,1.036,1.036,1.0360000000000005
ACZ97B,黑翼CTA28号B,2024-04-30,1.038,1.038,1.0380000000000005
ACZ97B,黑翼CTA28号B,2024-05-07,1.033,1.033,1.0330000000000004
ACZ97B,黑翼CTA28号B,2024-05-09,1.046,1.046,1.0460000000000005
ACZ97B,黑翼CTA28号B,2024-05-14,1.046,1.046,1.0460000000000005
ACZ97B,黑翼CTA28号B,2024-05-21,1.049,1.049,1.0490000000000004
ACZ97B,黑翼CTA28号B,2024-05-28,1.049,1.049,1.0490000000000004
ACZ97B,黑翼CTA28号B,2024-06-04,1.052,1.052,1.0520000000000005
ACZ97B,黑翼CTA28号B,2024-06-12,1.035,1.035,1.0350000000000004
ACZ97B,黑翼CTA28号B,2024-06-18,1.031,1.031,1.0310000000000004
ACZ97B,黑翼CTA28号B,2024-06-19,1.029,1.029,1.0290000000000004
ACZ97B,黑翼CTA28号B,2024-06-21,1.037,1.037,1.0370000000000004
ACZ97B,黑翼CTA28号B,2024-06-25,1.039,1.039,1.0390000000000004
ACZ97B,黑翼CTA28号B,2024-07-02,1.054,1.054,1.0540000000000005
ACZ97B,黑翼CTA28号B,2024-07-03,1.046,1.046,1.0460000000000005
ACZ97B,黑翼CTA28号B,2024-07-04,1.052,1.052,1.0520000000000005
ACZ97B,黑翼CTA28号B,2024-07-09,1.052,1.052,1.0520000000000005
ACZ97B,黑翼CTA28号B,2024-07-16,1.048,1.048,1.0480000000000005
ACZ97B,黑翼CTA28号B,2024-07-23,1.051,1.051,1.0510000000000004
ACZ97B,黑翼CTA28号B,2024-07-30,1.064,1.064,1.0640000000000005
ACZ97B,黑翼CTA28号B,2024-08-02,1.076,1.076,1.0760000000000003
ACZ97B,黑翼CTA28号B,2024-08-05,1.068,1.068,1.0680000000000005
ACZ97B,黑翼CTA28号B,2024-08-06,1.07,1.07,1.0700000000000005
ACZ97B,黑翼CTA28号B,2024-08-09,1.087,1.087,1.0870000000000002
ACZ97B,黑翼CTA28号B,2024-08-12,1.084,1.084,1.0840000000000003
ACZ97B,黑翼CTA28号B,2024-08-13,1.084,1.084,1.0840000000000003
ACZ97B,黑翼CTA28号B,2024-08-16,1.107,1.107,1.1070000000000002
ACZ97B,黑翼CTA28号B,2024-08-20,1.109,1.109,1.1090000000000002
ACZ97B,黑翼CTA28号B,2024-08-27,1.105,1.105,1.1050000000000002
ACZ97B,黑翼CTA28号B,2024-09-03,1.09,1.09,1.0900000000000003
ACZ97B,黑翼CTA28号B,2024-09-10,1.104,1.104,1.1040000000000003
ACZ97B,黑翼CTA28号B,2024-09-19,1.108,1.108,1.1080000000000003
ACZ97B,黑翼CTA28号B,2024-09-24,1.121,1.121,1.1210000000000002
ACZ97B,黑翼CTA28号B,2024-09-25,1.126,1.126,1.126
ACZ97B,黑翼CTA28号B,2024-09-30,1.12,1.12,1.1200000000000003
ACZ97B,黑翼CTA28号B,2024-10-08,1.091,1.091,1.0910000000000002
ACZ97B,黑翼CTA28号B,2024-10-09,1.088,1.088,1.0880000000000003
ACZ97B,黑翼CTA28号B,2024-10-10,1.111,1.111,1.1110000000000002
ACZ97B,黑翼CTA28号B,2024-10-11,1.085,1.085,1.0850000000000002
ACZ97B,黑翼CTA28号B,2024-10-14,1.097,1.097,1.0970000000000002
