基金代码,基金名称,日期,单位净值,累计净值
SAGF01,乾象中证1000指数增强35号1期,2024-03-14,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-15,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-18,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-19,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-20,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-21,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-22,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-25,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-26,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-27,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-28,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-03-29,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-01,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-02,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-08,1.0001,1.0001
SAGF01,乾象中证1000指数增强35号1期,2024-04-10,1.0001,1.0001
SAGF01,乾象中证1000指数增强35号1期,2024-04-11,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-16,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-18,0.9999,0.9999
SAGF01,乾象中证1000指数增强35号1期,2024-04-23,0.9998,0.9998
SAGF01,乾象中证1000指数增强35号1期,2024-04-25,0.9998,0.9998
SAGF01,乾象中证1000指数增强35号1期,2024-04-30,0.9997,0.9997
SAGF01,乾象中证1000指数增强35号1期,2024-05-07,0.9992,0.9992
SAGF01,乾象中证1000指数增强35号1期,2024-05-09,1.018,1.018
SAGF01,乾象中证1000指数增强35号1期,2024-05-14,1.0154,1.0154
SAGF01,乾象中证1000指数增强35号1期,2024-05-16,1.0139,1.0139
SAGF01,乾象中证1000指数增强35号1期,2024-05-21,1.0176,1.0176
SAGF01,乾象中证1000指数增强35号1期,2024-05-23,1.0176,1.0176
SAGF01,乾象中证1000指数增强35号1期,2024-05-28,0.9995,0.9995
SAGF01,乾象中证1000指数增强35号1期,2024-05-30,1.0045,1.0045
SAGF01,乾象中证1000指数增强35号1期,2024-06-04,1.0015,1.0015
SAGF01,乾象中证1000指数增强35号1期,2024-06-06,1.001,1.001
SAGF01,乾象中证1000指数增强35号1期,2024-06-12,0.9837,0.9837
SAGF01,乾象中证1000指数增强35号1期,2024-06-13,0.9815,0.9815
SAGF01,乾象中证1000指数增强35号1期,2024-06-18,0.9857,0.9857
SAGF01,乾象中证1000指数增强35号1期,2024-06-20,0.9916,0.9916
SAGF01,乾象中证1000指数增强35号1期,2024-06-25,0.9696,0.9696
SAGF01,乾象中证1000指数增强35号1期,2024-06-27,0.9451,0.9451
SAGF01,乾象中证1000指数增强35号1期,2024-07-02,0.9566,0.9566
SAGF01,乾象中证1000指数增强35号1期,2024-07-04,0.96,0.96
SAGF01,乾象中证1000指数增强35号1期,2024-07-09,0.9454,0.9454
SAGF01,乾象中证1000指数增强35号1期,2024-07-11,0.9468,0.9468
SAGF01,乾象中证1000指数增强35号1期,2024-07-16,0.962,0.962
SAGF01,乾象中证1000指数增强35号1期,2024-07-18,0.9545,0.9545
SAGF01,乾象中证1000指数增强35号1期,2024-07-23,0.946,0.946
SAGF01,乾象中证1000指数增强35号1期,2024-07-25,0.923,0.923
SAGF01,乾象中证1000指数增强35号1期,2024-07-30,0.9249,0.9249
